,Gender,ConvertedSalary,AnosProgramando
5617,0,20964.0,7
1947,1,66000.0,4
7863,1,86412.0,10
4060,0,119960.0,10
6433,0,58752.0,33
5322,0,13788.0,7
5284,0,130000.0,4
3547,1,82000.0,25
8981,1,61003.0,1
3938,1,59172.0,4
4030,1,135000.0,7
3005,1,32209.0,1
578,0,80000.0,13
7485,1,36084.0,4
8918,0,1000.0,1
5093,1,93569.0,10
1875,1,23352.0,10
4980,0,3000.0,1
7303,1,63516.0,33
5174,1,750084.0,1
3774,1,8328.0,4
6091,0,150000.0,13
4938,0,3756.0,4
375,0,64866.0,13
8564,0,29170.0,10
9474,0,0.0,4
4065,1,115000.0,7
4906,1,10200.0,4
2446,0,24156.0,7
9907,1,105300.0,4
2265,0,23388.0,7
5751,1,27900.0,4
6358,1,20150.0,7
4281,1,30000.0,1
2918,1,185000.0,19
8200,0,28692.0,7
4412,1,149000.0,13
4809,1,130000.0,4
1157,0,35244.0,7
3277,1,80527.0,16
3251,0,3696.0,4
3569,0,29373.0,7
4810,1,27781.0,1
2578,0,48616.0,7
9654,1,44287.0,4
1854,0,3000.0,4
2645,0,92200.0,7
1807,0,38204.0,7
3021,1,120000.0,16
7527,0,85671.0,7
6402,0,97910.0,19
2678,0,66674.0,7
3152,0,62418.0,16
3258,1,31821.0,7
4395,1,22032.0,4
6909,1,5904.0,7
1115,0,9900.0,10
5362,0,62124.0,19
50,1,62000.0,10
4786,0,58746.0,19
9434,0,43512.0,16
8174,0,105000.0,10
6629,1,104178.0,10
9625,1,100000.0,7
537,0,0.0,4
9306,0,150150.0,10
2360,1,85000.0,7
5049,1,85000.0,7
9527,1,720000.0,7
2793,0,69452.0,4
256,1,34608.0,7
9463,1,62807.0,13
9941,1,96626.0,25
4808,1,7512.0,4
783,0,115290.0,33
8047,1,20556.0,7
4736,0,51394.0,7
1136,1,155000.0,13
8034,0,36.0,1
1046,1,96626.0,7
5627,0,150000.0,7
7656,1,46000.0,7
592,0,79973.0,22
2332,1,65000.0,4
8299,1,109670.0,7
3852,1,10620.0,7
4015,0,616836.0,13
6391,0,49932.0,13
7982,0,13620.0,4
3075,1,48955.0,13
7204,1,70000.0,10
3298,1,211332.0,10
8080,0,128834.0,22
4697,1,75000.0,10
4187,1,106838.0,10
4982,0,8400.0,4
1422,0,2208.0,1
4081,1,37440.0,4
4623,1,41612.0,4
8560,1,80521.0,13
9239,0,2820.0,1
53,0,23614.0,1
9214,0,67368.0,7
5827,0,9706.0,10
2382,0,700080.0,33
2719,1,22032.0,1
8329,1,90288.0,16
6180,1,716748.0,7
5867,1,5820.0,10
4817,0,64620.0,13
5887,1,19447.0,1
4383,0,41671.0,13
529,0,56000.0,13
6710,1,172000.0,13
389,1,75000.0,4
913,0,112730.0,13
589,1,42348.0,13
5184,1,95000.0,1
8406,1,3744.0,1
670,1,128029.0,10
8386,1,14100.0,7
2020,0,21912.0,16
7043,0,566724.0,4
957,0,150288.0,7
6693,1,83342.0,7
4673,0,25003.0,33
1529,1,40800.0,10
354,1,9552.0,4
7774,0,69312.0,28
7723,0,155000.0,33
7406,1,128000.0,10
7236,0,58000.0,10
6308,1,107000.0,4
1803,1,74045.0,7
6266,1,32316.0,19
9069,1,55000.0,10
1345,1,26925.0,7
9103,1,17364.0,4
715,0,49152.0,7
327,1,85000.0,10
4921,0,200000.0,16
5505,0,46992.0,22
1649,1,91000.0,4
5371,1,70000.0,1
1486,1,90000.0,4
8339,0,90000.0,19
8653,0,16152.0,4
634,1,32232.0,13
5226,1,80000.0,13
3040,0,29376.0,4
9299,1,50700.0,1
6814,0,11604.0,1
1293,0,9393.0,7
7796,0,6576.0,1
4834,0,9348.0,10
1239,1,49032.0,16
4273,1,56000.0,10
1259,0,26925.0,4
9970,0,85000.0,13
4163,0,51408.0,25
5833,1,20976.0,4
4428,0,60391.0,4
2907,0,48955.0,7
2146,1,85000.0,1
531,0,116268.0,13
5328,1,65280.0,16
2752,1,6504.0,4
7417,1,1000000.0,16
1497,0,46000.0,4
2144,0,57522.0,4
3400,0,90500.0,10
4358,0,7428.0,1
2740,1,65980.0,7
4994,1,31536.0,10
395,1,144500.0,10
1316,0,13536.0,10
5886,1,11436.0,4
3386,0,27781.0,4
8102,0,122000.0,4
6946,0,581592.0,13
7209,0,25428.0,19
2700,0,62418.0,19
7924,0,1000000.0,19
4054,0,8448.0,4
1131,0,24150.0,7
9206,1,18720.0,7
8137,0,59988.0,4
864,1,41612.0,16
3824,0,140000.0,19
5752,1,118068.0,10
8800,1,120000.0,4
9761,0,62507.0,10
8810,1,11604.0,1
8758,0,348180.0,1
8862,0,69500.0,7
6632,1,9393.0,1
5837,1,0.0,1
5376,1,44000.0,13
8807,0,120782.0,13
6083,0,40000.0,7
0,1,50000.0,1
3296,1,55000.0,1
8484,0,85000.0,13
4932,1,29000.0,7
1173,1,54024.0,13
7135,0,80776.0,28
8930,0,83000.0,7
8432,0,106000.0,10
4021,0,15024.0,4
6238,1,48955.0,13
5707,1,140000.0,19
3573,1,107000.0,4
3337,0,78000.0,7
6855,0,48313.0,4
4414,1,93066.0,19
5256,0,9393.0,7
2100,1,48000.0,4
5614,1,36720.0,4
1017,0,79973.0,33
6999,0,5880.0,7
1991,1,90000.0,4
5739,1,80000.0,4
500,1,145000.0,22
1711,0,333372.0,4
1277,1,59970.0,1
8759,1,20000.0,4
4795,0,46992.0,7
9408,0,24672.0,7
4399,1,82000.0,10
3118,0,85000.0,4
8469,1,62000.0,4
2456,0,175000.0,22
3197,0,10620.0,1
1824,0,42500.0,1
2169,1,29376.0,1
6431,1,14688.0,10
1319,1,86000.0,13
6025,1,7044.0,4
5086,1,44520.0,7
